time,open,high,low,close,PM High,PM Low,Yest High,Yest Low,Week High,Week Low,ORB High,ORB Low,9 EMA,Short Entry,Long Entry,POC_,PM High (continuous),PM Low (continuous),MA,MA,Volume,Volume MA
2026-02-26T10:57:00-05:00,186.19,186.45,186.08,186.45,,,,,,,,,186.28342579683647,0,0,186.79999999999987,198.99,193.97,186.3931000000018,193.0795499999996,70355,104329
2026-02-26T10:58:00-05:00,186.44,186.645,186.385,186.4,,,,,,,,,186.30674063746918,0,0,186.79999999999987,198.99,193.97,186.3433000000018,193.0204249999996,99758,104470.85
2026-02-26T10:59:00-05:00,186.39,186.525,186.12,186.32,,,,,,,,,186.30939250997534,0,0,186.79999999999987,198.99,193.97,186.29890000000177,192.9606749999996,102534,104571.25
2026-02-26T11:00:00-05:00,186.33,186.95,186.24,186.95,,,,,,,,,186.43751400798027,0,0,186.79999999999987,198.99,193.97,186.26780000000178,192.90397499999963,110966,103918.35
2026-02-26T11:01:00-05:00,186.94,186.975,186.82,186.855,,,,,,,,,186.5210112063842,0,0,186.79999999999987,198.99,193.97,186.23930000000178,192.8469999999996,72978,101381.7
2026-02-26T11:02:00-05:00,186.85,186.93,186.47,186.72,,,,,,,,,186.56080896510736,0,0,186.79999999999987,198.99,193.97,186.22570000000178,192.78849999999957,97936,100029.35
2026-02-26T11:03:00-05:00,186.7,187.06,186.64,186.94,,,,,,,,,186.63664717208587,0,0,186.79999999999987,198.99,193.97,186.2142000000018,192.73149999999958,102383,99035.45
2026-02-26T11:04:00-05:00,186.94,187.16,186.85,187.15,,,,,,,,,186.7393177376687,0,0,186.79999999999987,198.99,193.97,186.2192000000018,192.67664999999957,82033,97004.5
2026-02-26T11:05:00-05:00,187.14,187.46,187,187.33,,,,,,,,,186.85745419013497,0,0,186.79999999999987,198.99,193.97,186.22610000000182,192.62579999999957,137792,99316.25
2026-02-26T11:06:00-05:00,187.34,187.41,186.96,187.18,,,,,,,,,186.92196335210798,0,0,186.79999999999987,198.99,193.97,186.23950000000178,192.57369999999955,106193,92944.55
2026-02-26T11:07:00-05:00,187.17,187.36,186.93,187.32,,,,,,,,,187.0015706816864,0,0,186.79999999999987,198.99,193.97,186.2573000000018,192.5220999999996,86955,92659.35
2026-02-26T11:08:00-05:00,187.32,187.33,187.07,187.26,,,,,,,,,187.05325654534911,0,0,186.79999999999987,198.99,193.97,186.28250000000182,192.4703999999996,77241,91363.4
2026-02-26T11:09:00-05:00,187.26,187.28,187.08,187.15,,,,,,,,,187.0726052362793,0,0,186.79999999999987,198.99,193.97,186.29750000000183,192.41794999999954,69545,91244.15
2026-02-26T11:10:00-05:00,187.15,187.295,187.04,187.11,,,,,,,,,187.08008418902344,0,0,186.79999999999987,198.99,193.97,186.3243000000018,192.36464999999956,68384,89972.1
2026-02-26T11:11:00-05:00,187.105,187.31,187.07,187.18,,,,,,,,,187.10006735121874,0,0,186.79999999999987,198.99,193.97,186.35130000000186,192.31314999999955,56825,88992.5
2026-02-26T11:12:00-05:00,187.195,187.44,187.08,187.29,,,,,,,,,187.13805388097498,0,0,186.79999999999987,198.99,193.97,186.37790000000183,192.26219999999958,79556,87780.1
2026-02-26T11:13:00-05:00,187.28,187.58,187.19,187.48,,,,,,,,,187.20644310478,0,0,186.79999999999987,198.99,193.97,186.40730000000184,192.21164999999954,124248,89130.1
2026-02-26T11:14:00-05:00,187.47,187.485,187.17,187.305,,,,,,,,,187.226154483824,0,0,186.79999999999987,198.99,193.97,186.43900000000184,192.16032499999955,54179,88079.75
2026-02-26T11:15:00-05:00,187.3,187.59,187.22,187.49,,,,,,,,,187.27892358705918,0,0,186.79999999999987,198.99,193.97,186.45800000000182,192.10927499999954,91752,87502.5
2026-02-26T11:16:00-05:00,187.49,187.63,187.4,187.59,,,,,,,,,187.34113886964735,0,0,186.79999999999987,198.99,193.97,186.4768000000018,192.05847499999953,82107,88686
2026-02-26T11:17:00-05:00,187.6,187.6,187.27,187.44,,,,,,,,,187.36091109571788,0,0,186.79999999999987,198.99,193.97,186.50570000000178,192.00767499999955,61723,88254.4
2026-02-26T11:18:00-05:00,187.425,187.62,187.38,187.61,,,,,,,,,187.4107288765743,0,0,186.79999999999987,198.99,193.97,186.5413000000018,191.95797499999952,46655,85599.25
2026-02-26T11:19:00-05:00,187.575,187.605,187.23,187.32,,,,,,,,,187.39258310125945,0,0,186.79999999999987,198.99,193.97,186.5655000000018,191.90612499999952,76756,84310.35
2026-02-26T11:20:00-05:00,187.31,187.36,187.16,187.29,,,,,,,,,187.37206648100755,0,0,186.79999999999987,198.99,193.97,186.5953000000018,191.85427499999955,62402,81882.15
2026-02-26T11:21:00-05:00,187.29,187.48,187.29,187.32,,,,,,,,,187.36165318480604,0,0,186.79999999999987,198.99,193.97,186.6203000000018,191.80392499999954,46430,80554.75
2026-02-26T11:22:00-05:00,187.32,187.52,187.29,187.36,,,,,,,,,187.36132254784485,0,0,186.79999999999987,198.99,193.97,186.6633000000018,191.75452499999952,58339,78574.9
2026-02-26T11:23:00-05:00,187.37,187.54,187.33,187.52,,,,,,,,,187.39305803827588,0,0,186.79999999999987,198.99,193.97,186.70930000000183,191.7062249999995,36822,75296.85
2026-02-26T11:24:00-05:00,187.53,187.67,187.45,187.485,,,,,,,,,187.4114464306207,0,0,186.79999999999987,198.99,193.97,186.76360000000182,191.6580499999995,47963,73593.35
2026-02-26T11:25:00-05:00,187.485,187.77,187.47,187.765,,,,,,,,,187.48215714449657,0,0,186.79999999999987,198.99,193.97,186.80950000000183,191.61167499999954,94075,71407.5
2026-02-26T11:26:00-05:00,187.77,187.9,187.7,187.86,,,,,,,,,187.55772571559726,0,0,186.79999999999987,198.99,193.97,186.85650000000183,191.56542499999952,74943,69845
2026-02-26T11:27:00-05:00,187.84,187.915,187.79,187.91,,,,,,,,,187.62818057247782,0,0,186.79999999999987,198.99,193.97,186.89790000000178,191.51907499999953,57100,68352.25
2026-02-26T11:28:00-05:00,187.92,187.93,187.82,187.9,,,,,,,,,187.68254445798226,0,0,186.79999999999987,198.99,193.97,186.9299000000018,191.47362499999952,31942,66087.3
2026-02-26T11:29:00-05:00,187.9,187.93,187.79,187.79,,,,,,,,,187.7040355663858,0,0,186.79999999999987,198.99,193.97,186.95790000000179,191.42782499999953,62774,65748.75
