time,open,high,low,close,PM High,PM Low,Yest High,Yest Low,Week High,Week Low,ORB High,ORB Low,9 EMA,Short Entry,Long Entry,POC_,PM High (continuous),PM Low (continuous),MA,MA,Volume,Volume MA
2026-02-26T07:52:00-05:00,197.46,197.56,197.24,197.48,,,,,,,,,197.69660104313363,0,0,198.4,198.99,196.37,198.02210000000184,197.77812499999965,10435,8139.9
2026-02-26T07:53:00-05:00,197.49,197.68,197.49,197.59,,,,,,,,,197.6752808345069,0,0,198.4,198.99,196.37,198.01490000000183,197.7738749999997,2587,7978.45
2026-02-26T07:54:00-05:00,197.59,197.64,197.56,197.57,,,,,,,,,197.65422466760552,0,0,198.4,198.99,196.37,198.00850000000185,197.76997499999968,2152,7738.6
2026-02-26T07:55:00-05:00,197.57,197.74,197.57,197.7,,,,,,,,,197.6633797340844,0,0,198.4,198.99,196.37,198.00490000000184,197.76642499999969,2921,7609.6
2026-02-26T07:56:00-05:00,197.7,197.76,197.69,197.75,,,,,,,,,197.68070378726753,0,0,198.4,198.99,196.37,198.0021000000018,197.76352499999967,2410,7171.3
2026-02-26T07:57:00-05:00,197.75,197.77,197.6,197.6,,,,,,,,,197.66456302981402,0,0,198.4,198.99,196.37,197.99430000000183,197.75972499999972,3602,6686.7
2026-02-26T07:58:00-05:00,197.59,197.65,197.42,197.55,,,,,,,,,197.64165042385122,0,0,198.4,198.99,196.37,197.9869000000018,197.7552749999997,4718,6141.55
2026-02-26T07:59:00-05:00,197.57,197.7,197.52,197.69,,,,,,,,,197.65132033908097,0,0,198.4,198.99,196.37,197.9827000000018,197.7519249999997,2984,6001.45
2026-02-26T08:00:00-05:00,197.63,197.83,197.53,197.66,,,,,,,,,197.65305627126477,0,0,198.4,198.99,196.37,197.9773000000018,197.7483749999997,8247,6353.65
2026-02-26T08:01:00-05:00,197.66,197.7,197.37,197.39,,,,,,,,,197.60044501701182,0,0,198.4,198.99,196.37,197.97090000000182,197.7437249999997,13010,6903.2
2026-02-26T08:02:00-05:00,197.49,197.49,197.15,197.24,,,,,,,,,197.52835601360945,0,0,198.4,198.99,196.37,197.9637000000018,197.7388249999997,5224,6982.95
2026-02-26T08:03:00-05:00,197.23,197.4,197.12,197.18,,,,,,,,,197.45868481088758,0,0,198.4,198.99,196.37,197.95370000000182,197.7334249999997,3568,6795.6
2026-02-26T08:04:00-05:00,197.12,197.13,196.95,197.12,,,,,,,,,197.39094784871006,0,0,198.4,198.99,196.37,197.9411000000018,197.72807499999973,20779,7387.4
2026-02-26T08:05:00-05:00,197.12,197.13,196.94,197.04,,,,,,,,,197.32075827896804,0,0,198.4,198.99,196.37,197.9229000000018,197.7208249999997,3020,5631.5
