time,open,high,low,close,PM High,PM Low,Yest High,Yest Low,Week High,Week Low,ORB High,ORB Low,POC_,PM High (continuous),PM Low (continuous),MA,MA,Volume
2026-02-25T14:42:00-05:00,651.95,652.03,651.88,652,,,,,,,,,650.4000000000003,643,638.7,650.7769000000071,650.3662500000099,1482
2026-02-25T14:43:00-05:00,651.95,651.97,651.69,651.73,,,,,,,,,650.4000000000003,643,638.7,650.820300000007,650.3828000000099,708
2026-02-25T14:44:00-05:00,651.7,651.77,651.25,651.25,,,,,,,,,650.4000000000003,643,638.7,650.855100000007,650.3948000000098,1494
2026-02-25T14:45:00-05:00,651.26,651.485,651.24,651.32,,,,,,,,,650.4000000000003,643,638.7,650.887700000007,650.4051500000099,1626
2026-02-25T14:46:00-05:00,651.44,651.75,651.44,651.6,,,,,,,,,650.4000000000003,643,638.7,650.9221000000069,650.4163500000099,1872
2026-02-25T14:47:00-05:00,651.65,651.73,651.65,651.7,,,,,,,,,650.4000000000003,643,638.7,650.959100000007,650.4278500000098,737
2026-02-25T14:48:00-05:00,651.73,651.82,651.65,651.82,,,,,,,,,650.4000000000003,643,638.7,650.994700000007,650.4391000000098,1665
2026-02-25T14:49:00-05:00,651.83,651.85,651.7,651.71,,,,,,,,,650.4000000000003,643,638.7,651.027700000007,650.4481500000098,515
2026-02-25T14:50:00-05:00,651.69,652,651.65,651.915,,,,,,,,,650.4000000000003,643,638.7,651.065200000007,650.4576250000099,5413
2026-02-25T14:51:00-05:00,651.85,651.86,651.67,651.86,,,,,,,,,650.4000000000003,643,638.7,651.103600000007,650.4656250000098,525
2026-02-25T14:52:00-05:00,651.79,651.9,651.72,651.73,,,,,,,,,650.4000000000003,643,638.7,651.136200000007,650.4734250000098,582
2026-02-25T14:53:00-05:00,651.72,652.2,651.61,652.2,,,,,,,,,650.4000000000003,643,638.7,651.1802000000071,650.4824750000098,3346
2026-02-25T14:54:00-05:00,652.1,652.48,652.1,652.42,,,,,,,,,650.4000000000003,643,638.7,651.227600000007,650.4937250000098,3242
2026-02-25T14:55:00-05:00,652.46,652.46,652.19,652.24,,,,,,,,,650.4000000000003,643,638.7,651.267400000007,650.5056250000098,4719
2026-02-25T14:56:00-05:00,652.19,652.26,651.96,652.26,,,,,,,,,650.4000000000003,643,638.7,651.310400000007,650.5181250000098,1283
2026-02-25T14:57:00-05:00,652.26,652.37,652.22,652.34,,,,,,,,,650.4000000000003,643,638.7,651.350000000007,650.5318250000098,936
2026-02-25T14:58:00-05:00,652.3,652.42,652.27,652.34,,,,,,,,,650.4000000000003,643,638.7,651.387400000007,650.5452250000099,2091
2026-02-25T14:59:00-05:00,652.36,652.4,652.27,652.36,,,,,,,,,650.4000000000003,643,638.7,651.4206000000071,650.5560750000099,2237
2026-02-25T15:00:00-05:00,652.28,652.33,652.11,652.32,,,,,,,,,650.4000000000003,643,638.7,651.4510000000071,650.5637250000098,5737
2026-02-25T15:01:00-05:00,652.28,652.44,652.19,652.34,,,,,,,,,650.4000000000003,643,638.7,651.481000000007,650.5695750000098,2099
2026-02-25T15:02:00-05:00,652.28,652.43,652.15,652.15,,,,,,,,,650.4000000000003,643,638.7,651.505800000007,650.5725250000098,3122
2026-02-25T15:03:00-05:00,652.14,652.27,652.09,652.23,,,,,,,,,650.4000000000003,643,638.7,651.536000000007,650.5736750000099,1996
2026-02-25T15:04:00-05:00,652.22,652.39,652.22,652.39,,,,,,,,,650.4000000000003,643,638.7,651.5706000000071,650.5779750000098,1079
2026-02-25T15:05:00-05:00,652.39,652.39,652.14,652.17,,,,,,,,,650.4000000000003,643,638.7,651.601600000007,650.5824250000098,1642
2026-02-25T15:06:00-05:00,652.2,652.31,652.07,652.17,,,,,,,,,650.4000000000003,643,638.7,651.629800000007,650.5881250000098,3264
2026-02-25T15:07:00-05:00,652.18,652.9,652.1,652.9,,,,,,,,,650.4000000000003,643,638.7,651.6720000000071,650.5974250000098,6789
2026-02-25T15:08:00-05:00,652.91,652.93,652.42,652.52,,,,,,,,,650.4000000000003,643,638.7,651.705200000007,650.6047750000098,2556
2026-02-25T15:09:00-05:00,652.525,652.56,652.4,652.4,,,,,,,,,650.4000000000003,643,638.7,651.7334000000071,650.6113250000099,1844
2026-02-25T15:10:00-05:00,652.37,652.39,652.24,652.3,,,,,,,,,650.4000000000003,643,638.7,651.7600000000072,650.6175750000098,1813
2026-02-25T15:11:00-05:00,652.3,652.38,652.2,652.37,,,,,,,,,650.4000000000003,643,638.7,651.7869000000071,650.6241750000098,617
2026-02-25T15:12:00-05:00,652.32,652.68,652,652.67,,,,,,,,,650.4000000000003,643,638.7,651.8243000000072,650.6336250000098,3553
2026-02-25T15:13:00-05:00,652.7,652.92,652.7,652.92,,,,,,,,,650.4000000000003,643,638.7,651.8667000000072,650.6447750000099,4398
2026-02-25T15:14:00-05:00,652.84,652.85,652.7,652.8,,,,,,,,,650.4000000000003,643,638.7,651.9081000000072,650.6551750000098,1840
2026-02-25T15:15:00-05:00,652.78,652.78,652.6,652.65,,,,,,,,,650.4000000000003,643,638.7,651.9421000000071,650.6641750000098,1305
2026-02-25T15:16:00-05:00,652.7,652.82,652.64,652.79,,,,,,,,,650.4000000000003,643,638.7,651.9787000000072,650.6740750000098,1885
2026-02-25T15:17:00-05:00,652.78,653.07,652.78,653.01,,,,,,,,,650.4000000000003,643,638.7,652.0125000000071,650.6850750000099,7272
2026-02-25T15:18:00-05:00,652.99,653.04,652.6,652.7,,,,,,,,,650.4000000000003,643,638.7,652.0425000000072,650.6941750000097,931
2026-02-25T15:19:00-05:00,652.66,652.66,652.49,652.56,,,,,,,,,650.4000000000003,643,638.7,652.0651000000072,650.7031750000098,1589
2026-02-25T15:20:00-05:00,652.52,652.73,652.48,652.51,,,,,,,,,650.4000000000003,643,638.7,652.0939000000072,650.7139750000098,2956
2026-02-25T15:21:00-05:00,652.54,652.61,652.25,652.33,,,,,,,,,650.4000000000003,643,638.7,652.1183000000071,650.7211750000098,1798
2026-02-25T15:22:00-05:00,652.33,652.33,651.75,651.75,,,,,,,,,650.4000000000003,643,638.7,652.1305000000071,650.7234750000098,1340
2026-02-25T15:23:00-05:00,651.75,651.75,651.46,651.56,,,,,,,,,650.4000000000003,643,638.7,652.1389000000071,650.7248750000098,1531
