Date,Message
2026-01-20T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ ORB H vol=16.4x pos=v29 O608.36 H608.4 L600 C605.99 ATR=14.55 rawVol=106229 volSMA=6481 buf=0.727 prices=608.4
2026-01-21T09:30:00.000-05:00,[KLB] 9:30 ▼ ~ ~ PM H + ~ Yest H vol=2.6x pos=v100 O607.53 H608.5 L606.85 C606.85 ATR=14.95 rawVol=2231 volSMA=860 buf=0.748 prices=608.6/611.4
2026-01-21T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L vol=14x pos=v70 O606.8 H606.8 L601.36 C603 ATR=14.95 rawVol=39593 volSMA=2836 buf=0.748 prices=603
2026-01-21T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ ORB H vol=14x pos=v70 O606.8 H606.8 L601.36 C603 ATR=14.95 rawVol=39593 volSMA=2836 buf=0.748 prices=606.8
2026-01-21T09:46:00.000-05:00,[KLB] 9:46 ▼ ◆ ◆² PM L 5.7x v13 vol= pos= O602.35 H602.65 L600.08 C602.32 ATR=14.95 rawVol=34644 volSMA=6269 buf=0.748 prices=
2026-01-21T09:53:00.000-05:00,[KLB] CONF 9:53 ▼ BRK → ✗ (failed)
2026-01-21T09:55:00.000-05:00,[KLB] 9:55 ▲ ~~ ~~ PM L vol=3.6x pos=^92 O602.09 H604.06 L601.88 C603.88 ATR=14.95 rawVol=33600 volSMA=9334 buf=0.748 prices=603
2026-01-21T10:00:00.000-05:00,[KLB] 10:00 ▲ ~ ~ Yest L vol=3.1x pos=^75 O603.98 H605.78 L603.5 C605.2 ATR=14.95 rawVol=32086 volSMA=10919 buf=0.748 prices=600
2026-01-21T10:25:00.000-05:00,[KLB] 10:25 ▲ BRK ORB H vol=1.7x pos=^81 O605.18 H607.77 L604.75 C607.2 ATR=14.95 rawVol=28443 volSMA=17290 buf=0.748 prices=606.8
2026-01-21T10:45:00.000-05:00,[KLB] 10:45 ▲ BRK Yest H vol=1.8x pos=^61 O610.71 H612.48 L610.64 C611.77 ATR=14.95 rawVol=40078 volSMA=22211 buf=0.748 prices=611.4
2026-01-21T10:45:00.000-05:00,[KLB] CONF 10:45 ▲ BRK → ✓ (auto-promote)
