time,open,high,low,close,PM High,PM Low,Yest High,Yest Low,Week High,Week Low,ORB High,ORB Low,9 EMA,Short Entry,Long Entry,POC_,PM High (continuous),PM Low (continuous),MA,MA,Volume,Volume MA
2026-02-26T10:57:00-05:00,409.21,409.7,408.97,409.55,,,,,,,,,409.0915166809831,0,0,413.6,415.7,414.19,408.61079999999777,412.8429849999994,18631,18978.4
2026-02-26T10:58:00-05:00,409.58,410,409.52,409.84,,,,,,,,,409.24121334478644,0,0,413.6,415.7,414.19,408.5529999999978,412.8176849999994,20574,18971.3
2026-02-26T10:59:00-05:00,409.87,409.9,409.1,409.26,,,,,,,,,409.24497067582917,0,0,413.6,415.7,414.19,408.4855999999978,412.78958499999936,16979,18876.25
2026-02-26T11:00:00-05:00,409.28,409.79,409.24,409.71,,,,,,,,,409.3379765406633,0,0,413.6,415.7,414.19,408.4201999999978,412.76378499999936,12747,18622.7
2026-02-26T11:01:00-05:00,409.69,409.72,409.18,409.25,,,,,,,,,409.3203812325306,0,0,413.6,415.7,414.19,408.3399999999978,412.73538499999927,13345,18395.25
2026-02-26T11:02:00-05:00,409.32,409.38,408.8,408.99,,,,,,,,,409.2543049860245,0,0,413.6,415.7,414.19,408.2835999999978,412.70478499999933,15658,18353.85
2026-02-26T11:03:00-05:00,409.03,409.35,408.6,408.75,,,,,,,,,409.1534439888196,0,0,413.6,415.7,414.19,408.2181999999978,412.6727349999993,12257,17853.85
2026-02-26T11:04:00-05:00,408.75,409.19,408.47,409.19,,,,,,,,,409.16075519105567,0,0,413.6,415.7,414.19,408.1779999999978,412.64268499999935,13385,17211.2
2026-02-26T11:05:00-05:00,409.14,409.5,408.94,409.38,,,,,,,,,409.2046041528445,0,0,413.6,415.7,414.19,408.1697999999978,412.6148349999993,9282,16481.8
2026-02-26T11:06:00-05:00,409.4,409.6,408.81,409.09,,,,,,,,,409.1816833222756,0,0,413.6,415.7,414.19,408.16819999999774,412.58533499999925,21321,16430
2026-02-26T11:07:00-05:00,409.03,409.39,408.78,409.14,,,,,,,,,409.1733466578205,0,0,413.6,415.7,414.19,408.1651999999977,412.5563849999993,15923,16233.7
2026-02-26T11:08:00-05:00,409.13,409.24,408.75,409.1,,,,,,,,,409.1586773262564,0,0,413.6,415.7,414.19,408.18019999999774,412.52683499999927,11031,15495.5
2026-02-26T11:09:00-05:00,409.13,409.5,409.13,409.35,,,,,,,,,409.19694186100514,0,0,413.6,415.7,414.19,408.2103999999978,412.49833499999926,7567,15043.35
2026-02-26T11:10:00-05:00,409.37,409.7,409.25,409.41,,,,,,,,,409.2395534888041,0,0,413.6,415.7,414.19,408.25359999999773,412.4703299999993,7909,14591
2026-02-26T11:11:00-05:00,409.41,409.81,409.32,409.44,,,,,,,,,409.2796427910433,0,0,413.6,415.7,414.19,408.2923999999977,412.4425299999993,5294,14146
2026-02-26T11:12:00-05:00,409.5,410.03,409.405,409.53,,,,,,,,,409.3297142328346,0,0,413.6,415.7,414.19,408.33679999999777,412.4151799999993,13334,14043.85
2026-02-26T11:13:00-05:00,409.56,409.56,409.26,409.4,,,,,,,,,409.3437713862677,0,0,413.6,415.7,414.19,408.3767999999977,412.38677999999936,11772,13608.6
2026-02-26T11:14:00-05:00,409.44,409.75,409.2,409.74,,,,,,,,,409.42301710901415,0,0,413.6,415.7,414.19,408.42739999999765,412.3599799999993,9247,13556.45
2026-02-26T11:15:00-05:00,409.78,410.08,409.65,410.03,,,,,,,,,409.5444136872113,0,0,413.6,415.7,414.19,408.47779999999767,412.33452999999935,14076,13575.5
2026-02-26T11:16:00-05:00,410.01,410.3,409.65,410.26,,,,,,,,,409.68753094976904,0,0,413.6,415.7,414.19,408.51379999999773,412.31022999999936,15793,13306.25
2026-02-26T11:17:00-05:00,410.21,410.21,409.8,410.05,,,,,,,,,409.7600247598152,0,0,413.6,415.7,414.19,408.5687999999976,412.28472999999934,13904,13069.9
2026-02-26T11:18:00-05:00,409.95,410.09,409.75,409.97,,,,,,,,,409.80201980785216,0,0,413.6,415.7,414.19,408.6260999999977,412.25907999999936,7444,12413.4
2026-02-26T11:19:00-05:00,409.97,409.97,409.49,409.51,,,,,,,,,409.7436158462817,0,0,413.6,415.7,414.19,408.65989999999766,412.2309299999994,12581,12193.5
2026-02-26T11:20:00-05:00,409.49,409.65,409,409.1,,,,,,,,,409.6148926770254,0,0,413.6,415.7,414.19,408.7000999999977,412.2012799999994,20279,12570.1
2026-02-26T11:21:00-05:00,409.115,409.35,408.98,409.18,,,,,,,,,409.52791414162033,0,0,413.6,415.7,414.19,408.73389999999773,412.17162999999937,9091,12357.4
2026-02-26T11:22:00-05:00,409.18,409.66,409.18,409.4,,,,,,,,,409.5023313132963,0,0,413.6,415.7,414.19,408.79579999999777,412.14387999999934,5249,11836.95
2026-02-26T11:23:00-05:00,409.44,409.53,408.81,409.08,,,,,,,,,409.41786505063703,0,0,409.59999999999997,415.7,414.19,408.84819999999775,412.11437999999936,15122,11980.2
2026-02-26T11:24:00-05:00,409.06,409.14,408.85,408.89,,,,,,,,,409.31229204050965,0,0,409.59999999999997,415.7,414.19,408.9235999999977,412.08522999999934,9965,11809.2
2026-02-26T11:25:00-05:00,409,409.5,408.84,409.5,,,,,,,,,409.3498336324077,0,0,409.59999999999997,415.7,414.19,408.99339999999773,412.0597299999994,8988,11794.5
2026-02-26T11:26:00-05:00,409.51,409.73,409.15,409.41,,,,,,,,,409.36186690592615,0,0,409.59999999999997,415.7,414.19,409.0609999999977,412.0335799999994,11910,11323.95
2026-02-26T11:27:00-05:00,409.37,409.44,409.17,409.33,,,,,,,,,409.3554935247409,0,0,409.59999999999997,415.7,414.19,409.1079999999977,412.00652999999943,5297,10792.65
2026-02-26T11:28:00-05:00,409.27,409.53,409.21,409.42,,,,,,,,,409.36839481979274,0,0,409.59999999999997,415.7,414.19,409.14599999999774,411.97942999999935,8117,10646.95
2026-02-26T11:29:00-05:00,409.38,409.42,409.1,409.1,,,,,,,,,409.3147158558342,0,0,409.59999999999997,415.7,414.19,409.1721999999977,411.95107999999937,6711,10604.15
2026-02-26T11:30:00-05:00,409.04,409.71,408.95,409.6,,,,,,,,,409.37177268466735,0,0,409.59999999999997,415.7,414.19,409.2089999999977,411.9252299999994,9578,10687.6
2026-02-26T11:31:00-05:00,409.65,409.67,409.27,409.27,,,,,,,,,409.35141814773385,0,0,409.59999999999997,415.7,414.19,409.23319999999774,411.89792999999935,11830,11014.4
2026-02-26T11:32:00-05:00,409.34,409.89,409.27,409.83,,,,,,,,,409.44713451818706,0,0,409.59999999999997,415.7,414.19,409.2737999999977,411.87262999999933,7012,10698.3
2026-02-26T11:33:00-05:00,409.9,410.07,409.61,410.01,,,,,,,,,409.55970761454967,0,0,409.59999999999997,415.7,414.19,409.3007999999977,411.8481799999993,13203,10769.85
2026-02-26T11:34:00-05:00,410.03,410.15,409.655,409.74,,,,,,,,,409.59576609163975,0,0,409.59999999999997,415.7,414.19,409.3269999999977,411.8217299999993,17131,11164.05
2026-02-26T11:35:00-05:00,409.74,409.8,409.24,409.3,,,,,,,,,409.5366128733118,0,0,409.59999999999997,415.7,414.19,409.33419999999774,411.7932799999993,13667,11143.6
2026-02-26T11:36:00-05:00,409.31,409.32,408.59,408.63,,,,,,,,,409.35529029864944,0,0,409.59999999999997,415.7,414.19,409.33499999999765,411.76142999999934,24255,11566.7
2026-02-26T11:37:00-05:00,408.59,408.67,408.18,408.18,,,,,,,,,409.1202322389195,0,0,409.59999999999997,415.7,414.19,409.31779999999765,411.7268299999993,11637,11453.35
2026-02-26T11:38:00-05:00,408.19,408.31,407.79,407.87,,,,,,,,,408.8701857911356,0,0,409.59999999999997,415.7,414.19,409.2941999999977,411.69097999999934,21418,12152.05
2026-02-26T11:39:00-05:00,407.9,408.02,407.77,407.79,,,,,,,,,408.6541486329085,0,0,409.59999999999997,415.7,414.19,409.2675999999977,411.6539299999993,15206,12283.3
2026-02-26T11:40:00-05:00,407.79,407.9,407.6,407.77,,,,,,,,,408.4773189063268,0,0,409.59999999999997,415.7,414.19,409.2535999999977,411.6171299999993,11196,11829.15
