time,open,high,low,close,PM High,PM Low,Yest High,Yest Low,Week High,Week Low,ORB High,ORB Low,POC_,PM High (continuous),PM Low (continuous),MA,MA,Volume,Volume MA
2026-02-25T19:06:00-05:00,647.8,647.8,647.8,647.8,,,,,,,,,651.6000000000004,,,649.0644200000081,652.1694750000095,4,64.45
2026-02-25T19:07:00-05:00,647.8,647.8,647.8,647.8,,,,,,,,,651.6000000000004,,,648.9944200000081,652.1476250000094,1,46.6
2026-02-25T19:09:00-05:00,648.18,648.18,648.18,648.18,,,,,,,,,651.6000000000004,,,648.938020000008,652.1240250000094,1,45.9
2026-02-25T19:11:00-05:00,648.19,648.21,648.19,648.21,,,,,,,,,651.6000000000004,,,648.8846200000081,652.1024750000095,144,49.95
2026-02-25T19:14:00-05:00,648.25,648.25,648.25,648.25,,,,,,,,,651.6000000000004,,,648.8096200000081,652.0817250000094,34,31.85
2026-02-25T19:17:00-05:00,648.12,648.12,648.12,648.12,,,,,,,,,651.6000000000004,,,648.7320200000081,652.0608250000095,5,31.7
2026-02-25T19:18:00-05:00,648.25,648.25,648.1,648.1,,,,,,,,,651.6000000000004,,,648.6542200000081,652.0394750000095,23,31.1
2026-02-25T19:20:00-05:00,648.24,648.24,648.24,648.24,,,,,,,,,651.6000000000004,,,648.583820000008,652.0173250000095,22,30.55
2026-02-25T19:21:00-05:00,648,648,648,648,,,,,,,,,651.6000000000004,,,648.5126200000082,651.9927250000095,51,25.3
2026-02-25T19:23:00-05:00,648.03,648.03,648.01,648.01,,,,,,,,,651.6000000000004,,,648.4468200000081,651.9687750000095,39,26.15
2026-02-25T19:24:00-05:00,647.9,647.9,647.9,647.9,,,,,,,,,651.6000000000004,,,648.3848200000081,651.9450250000095,10,26.2
2026-02-25T19:25:00-05:00,647.82,647.82,647.82,647.82,,,,,,,,,651.6000000000004,,,648.328820000008,651.9201750000095,19,24.6
2026-02-25T19:32:00-05:00,648.02,648.02,648,648,,,,,,,,,651.6000000000004,,,648.2706200000081,651.8951250000094,41,26.1
2026-02-25T19:36:00-05:00,648.24,648.24,648.24,648.24,,,,,,,,,651.6000000000004,,,648.2282200000082,651.8728250000095,5,25.7
2026-02-25T19:37:00-05:00,648.23,648.23,648.2,648.2,,,,,,,,,651.6000000000004,,,648.1982200000082,651.8510250000095,46,24.95
2026-02-25T19:39:00-05:00,648.1,648.1,648.1,648.1,,,,,,,,,651.6000000000004,,,648.1654200000081,651.8289750000095,65,27.8
2026-02-25T19:40:00-05:00,648,648,648,648,,,,,,,,,651.6000000000004,,,648.1304200000081,651.8073250000094,2,27.65
