time,open,high,low,close,PM High,PM Low,Yest High,Yest Low,Week High,Week Low,ORB High,ORB Low,POC_,PM High (continuous),PM Low (continuous),MA,MA,Volume,Volume MA
2026-02-25T06:27:00-05:00,409.05,409.05,409.02,409.04,,,,,,,,,409.6,409.98,408.45,408.7805999999974,408.9958999999997,20,130.15
2026-02-25T06:28:00-05:00,409.04,409.04,409.02,409.04,,,,,,,,,409.6,409.98,408.45,408.7839999999974,408.99579999999975,45,125.6
2026-02-25T06:29:00-05:00,409.02,409.03,408.98,409,,,,,,,,,409.6,409.98,408.45,408.7865999999974,408.9957499999997,123,119.3
2026-02-25T06:30:00-05:00,409.02,409.07,408.97,409.02,,,,,,,,,409.6,409.98,408.45,408.7889999999974,408.9958499999997,212,125.25
2026-02-25T06:31:00-05:00,409.04,409.09,409.03,409.06,,,,,,,,,409.6,409.98,408.45,408.7925999999974,408.9961499999997,443,144.45
2026-02-25T06:32:00-05:00,409.1,409.14,409.08,409.14,,,,,,,,,409.6,409.98,408.45,408.79739999999737,408.9969499999997,222,154.85
2026-02-25T06:33:00-05:00,409.12,409.25,409.07,409.18,,,,,,,,,409.6,409.98,408.45,408.80479999999733,408.9982499999997,492,178.2
2026-02-25T06:34:00-05:00,409.16,409.16,409.15,409.15,,,,,,,,,409.6,409.98,408.45,408.8095999999974,408.99949999999967,135,183.1
2026-02-25T06:35:00-05:00,409.16,409.18,409.16,409.18,,,,,,,,,409.6,409.98,408.45,408.81899999999735,409.0008499999997,107,187.4
2026-02-25T06:36:00-05:00,409.16,409.17,409.13,409.13,,,,,,,,,409.6,409.98,408.45,408.82719999999733,409.0019499999998,29,173.95
2026-02-25T06:37:00-05:00,409.11,409.16,409.08,409.16,,,,,,,,,409.6,409.98,408.45,408.83439999999734,409.00319999999977,166,159.1
2026-02-25T06:38:00-05:00,409.12,409.13,409.07,409.13,,,,,,,,,409.6,409.98,408.45,408.8409999999974,409.0044499999998,225,152.2
2026-02-25T06:39:00-05:00,409.18,409.22,409.14,409.22,,,,,,,,,409.6,409.98,408.45,408.8497999999974,409.0062999999998,212,162.3
2026-02-25T06:40:00-05:00,409.26,409.3,409.22,409.3,,,,,,,,,409.6,409.98,408.45,408.8607999999974,409.00854999999973,100,153.65
2026-02-25T06:41:00-05:00,409.32,409.38,409.29,409.35,,,,,,,,,409.6,409.98,408.45,408.87239999999736,409.01099999999974,329,168.1
2026-02-25T06:42:00-05:00,409.37,409.44,409.36,409.44,,,,,,,,,409.6,409.98,408.45,408.88459999999736,409.0138999999997,289,179.5
2026-02-25T06:43:00-05:00,409.38,409.4,409.35,409.37,,,,,,,,,409.6,409.98,408.45,408.8989999999974,409.01634999999965,32,166.65
2026-02-25T06:44:00-05:00,409.41,409.41,409.35,409.4,,,,,,,,,409.6,409.98,408.45,408.91599999999744,409.0187499999997,210,173.45
2026-02-25T06:45:00-05:00,409.42,409.42,409.28,409.28,,,,,,,,,409.6,409.98,408.45,408.9301999999974,409.02024999999975,408,191.3
2026-02-25T06:46:00-05:00,409.3,409.3,409.25,409.25,,,,,,,,,409.6,409.98,408.45,408.9431999999974,409.0218999999997,18,190.85
2026-02-25T06:47:00-05:00,409.23,409.38,409.23,409.38,,,,,,,,,409.6,409.98,408.45,408.9585999999974,409.02384999999964,207,200.2
2026-02-25T06:48:00-05:00,409.34,409.36,409.34,409.36,,,,,,,,,409.6,409.98,408.45,408.9747999999974,409.0257499999997,4,198.15
2026-02-25T06:49:00-05:00,409.34,409.37,409.32,409.36,,,,,,,,,409.6,409.98,408.45,408.9885999999974,409.0276999999997,33,193.65
2026-02-25T06:50:00-05:00,409.36,409.41,409.36,409.41,,,,,,,,,409.6,409.98,408.45,409.0043999999974,409.03034999999966,91,187.6
2026-02-25T06:52:00-05:00,409.38,409.4,409.38,409.4,,,,,,,,,409.6,409.98,408.45,409.02239999999733,409.0330999999997,23,166.6
2026-02-25T06:53:00-05:00,409.44,409.5,409.44,409.49,,,,,,,,,409.6,409.98,408.45,409.0405999999974,409.03654999999964,64,158.7
2026-02-25T06:54:00-05:00,409.5,409.57,409.5,409.57,,,,,,,,,409.6,409.98,408.45,409.0603999999974,409.04039999999964,502,159.2
2026-02-25T06:55:00-05:00,409.57,409.6,409.55,409.59,,,,,,,,,409.6,409.98,408.45,409.07999999999737,409.0454999999996,147,159.8
2026-02-25T06:56:00-05:00,409.58,409.64,409.58,409.6,,,,,,,,,409.6,409.98,408.45,409.0979999999974,409.05099999999965,533,181.1
2026-02-25T06:57:00-05:00,409.62,409.62,409.49,409.49,,,,,,,,,409.6,409.98,408.45,409.1159999999974,409.05559999999963,572,208.25
2026-02-25T06:58:00-05:00,409.49,409.5,409.49,409.5,,,,,,,,,409.6,409.98,408.45,409.1325999999974,409.05989999999963,65,203.2
2026-02-25T06:59:00-05:00,409.49,409.5,409.48,409.5,,,,,,,,,409.6,409.98,408.45,409.1475999999974,409.06459999999964,47,194.3
